ESO548-3	NGC1315
ESO357-27	NGC1316C
ESO357-22	NGC1316
ESO548-6	NGC1319
ESO548-7	NGC1325
ESO548-10	NGC1325A
ESO357-26	NGC1326
ESO357-28	NGC1326A
ESO357-29	NGC1326B
ESO481-26	NGC1327
ESO548-15	NGC1329
ESO548-18	NGC1332
ESO358-2	NGC1336
ESO418-4	NGC1339
ESO358-8	NGC1341
ESO548-26	NGC1345
ESO548-27	NGC1347-1
ESO548-27	NGC1347-2
ESO358-13	NGC1350
ESO358-12	NGC1351
ESO358-9	NGC1351A
ESO548-30	NGC1352
ESO548-31	NGC1353
ESO200-31	NGC1356
ESO548-39	NGC1359
ESO548-41	NGC1362
ESO358-17	NGC1365
ESO418-10	NGC1366
ESO358-34	NGC1369
ESO548-48	NGC1370
ESO358-21	NGC1373
ESO358-23	NGC1374
ESO358-24	NGC1375
ESO548-51	NGC1377
ESO358-**30	NGC1378
ESO358-27	NGC1379
ESO358-28	NGC1380
ESO358-33	NGC1380A
ESO358-29	NGC1381
ESO548-53	NGC1383
ESO482-16	NGC1385
ESO358-35	NGC1386
ESO358-36	NGC1387
ESO358-38	NGC1389
ESO548-54	NGC1390
ESO548-59	NGC1391
ESO548-58	NGC1393
ESO548-60	NGC1394
ESO482-19	NGC1395
ESO482-22	NGC1398
ESO358-45	NGC1399
ESO548-62	NGC1400
ESO482-26	NGC1401
ESO548-61	NGC1402
ESO482-25	NGC1403
ESO358-46	NGC1404
ESO418-15	NGC1406
ESO548-67	NGC1407
ESO358-?48	NGC1408
ESO548-71	NGC1414
ESO482-34	NGC1416
ESO301-23	NGC1419
ESO548-77	NGC1422
ESO419-4	NGC1425
ESO549-1	NGC1426
ESO358-52	NGC1427
ESO358-49	NGC1427A
ESO358-53	NGC1428
ESO249-14	NGC1433
ESO358-54	NGC1437A
ESO358-61	NGC1437B
ESO482-41	NGC1438
ESO549-9	NGC1439
ESO482-43	NGC1459
ESO358-62	NGC1460
ESO117-9	NGC1463
ESO54-16	NGC1466
ESO54-19	NGC1473
ESO249-24	NGC1476
ESO549-32	NGC1481
ESO549-33	NGC1482
ESO201-7	NGC1483
ESO359-6	NGC1484
ESO549-37	NGC1486
ESO249-31	NGC1487
ESO549-42	NGC1489
ESO83-11	NGC1490
ESO359-12	NGC1492
ESO249-33	NGC1493
ESO201-12	NGC1494
ESO249-34	NGC1495
ESO201-13	NGC1500
ESO83-13	NGC1503
ESO156-27	NGC1506
ESO250-3	NGC1510
ESO55-4	NGC1511
ESO55-5	NGC1511A
ESO55-6	NGC1511B
ESO250-4	NGC1512
ESO156-36	NGC1515
ESO156-34	NGC1515A
ESO550-7	NGC1518
ESO550-9	NGC1519
ESO32-5	NGC1520
ESO550-11	NGC1521
ESO156-38	NGC1522
ESO156-**39	NGC1523
ESO84-3	NGC1526
ESO201-20	NGC1527
ESO84-4	NGC1529
ESO359-26	NGC1531
ESO359-27	NGC1532
ESO157-3	NGC1533
ESO84-6	NGC1534
