NGC 498,16.0,0.3,0.3
NGC 499,12.1,1.7,1.3
NGC 500,15.0,0.8,0.6
NGC 501,14.5,0.4,0.4
NGC 502,12.8,1.1,1.0
NGC 503,14.1,0.9,0.7
NGC 504,13.0,1.7,0.4
NGC 505,13.8,0.9,0.6
NGC 507,11.2,4.0,4.0
NGC 508,13.1,1.3,1.3
NGC 509,13.4,1.3,0.5
NGC 511,13.7,1.2,1.2
NGC 512,13.2,1.6,0.4
NGC 513,12.9,0.7,0.3
NGC 514,11.6,3.7,3.0
NGC 515,13.0,1.4,1.1
NGC 516,13.1,1.4,0.5
NGC 517,12.4,2.0,1.0
NGC 518,13.3,1.6,0.6
NGC 519,14.3,0.5,0.3
NGC 520,11.4,3.7,1.5
NGC 521,11.7,3.3,3.0
NGC 522,12.9,2.8,0.5
NGC 523,12.7,2.5,0.7
NGC 524,10.3,3.2,3.2
NGC 525,13.2,1.5,0.7
NGC 527,13.0,1.6,0.3
NGC 528,12.5,1.7,1.1
NGC 529,12.1,2.4,2.1
NGC 530,13.0,1.5,0.4
NGC 531,13.8,1.8,0.5
NGC 532,12.9,2.3,0.7
NGC 533,11.4,3.9,2.7
NGC 534,13.4,1.0,0.9
NGC 535,13.8,1.0,0.3
NGC 536,12.4,3.0,1.1
NGC 537,13.5,2.5,0.7
NGC 538,13.7,1.0,0.5
NGC 539,13.5,1.6,1.3
NGC 540,15.8,0.9,0.4
NGC 541,12.1,1.8,1.7
NGC 542,14.7,1.0,0.2
NGC 543,13.1,0.6,0.3
NGC 544,13.4,1.2,0.9
NGC 545,12.2,2.6,1.6
NGC 546,13.6,1.4,0.5
NGC 547,12.2,1.9,1.8
NGC 548,13.7,0.9,0.8
NGC 549,13.5,0.5,0.5
NGC 550,12.7,1.4,0.6
NGC 551,12.7,1.8,0.8
NGC 553,15.1,0.6,0.3
NGC 554,15.0,0.9,0.5
NGC 555,14.1,0.7,0.6
NGC 556,14.4,0.4,0.3
NGC 557,13.5,1.4,0.8
NGC 558,14.3,0.4,0.2
NGC 559,9.5,4.4,4.4
NGC 560,13.0,1.9,0.6
NGC 561,12.9,1.6,1.5
NGC 562,13.3,1.3,1.1
NGC 563,13.3,1.6,1.3
NGC 564,12.5,1.3,1.1
NGC 565,13.5,1.3,0.4
NGC 566,13.5,1.6,0.4
NGC 567,14.0,1.0,0.6
NGC 568,12.6,2.2,1.3
NGC 569,13.6,1.0,0.5
NGC 570,12.8,1.6,1.3
NGC 571,13.6,1.3,1.3
NGC 572,14.1,0.8,0.7
NGC 573,13.1,0.4,0.4
NGC 574,13.3,1.1,0.7
NGC 575,12.8,1.7,1.6
NGC 576,14.4,1.0,0.8
NGC 577,12.9,1.9,1.5
NGC 578,10.9,4.8,3.0
NGC 579,13.3,1.1,1.0
NGC 580,13.9,1.9,1.5
NGC 581,7.4,6.0,6.0
NGC 582,13.2,2.2,0.6
NGC 583,14.1,0.7,0.6
NGC 584,10.5,3.3,1.9
NGC 585,13.1,2.2,0.5
NGC 586,13.2,1.7,0.9
NGC 587,12.8,2.2,0.8
NGC 588,99.9,0.7,0.7
NGC 589,14.0,1.1,0.9
NGC 590,12.9,2.6,1.3
NGC 591,12.9,1.3,1.0
NGC 592,99.9,0.3,0.3
NGC 593,14.0,1.2,0.2
