IC0636,10:41:51,+04:19:50.8
IC0637,10:42:22,+15:21:34.6
IC0638,10:43:48,+15:53:42.5
IC0639,10:45:52,+16:55:49.6
IC0640,10:46:50,+34:46:03.5
IC0641,10:47:49,+34:40:22.2
IC0642,10:48:08,+18:11:19.3
IC0643,10:49:27,+12:12:03.6
IC0644,10:51:31,+55:23:27.5
IC0645,10:50:09,-06:02:34.4
IC0646,10:51:35,+55:27:57.0
IC0647,10:50:34,-12:51:17.3
IC0648,10:51:00,+12:17:14.6
IC0649,10:50:52,+01:09:50.0
IC0650,10:50:41,-13:26:31.4
IC0651,10:50:58,-02:09:01.3
IC0652,10:50:58,-12:26:54.7
IC0653,10:52:07,-00:33:38.8
IC0654,10:53:50,-11:43:32.1
IC0655,10:54:22,-00:21:53.9
IC0656,10:55:08,+17:36:46.4
IC0657,10:57:54,-04:54:17.8
IC0658,10:58:16,+08:14:30.0
IC0659,10:58:04,-06:15:37.9
IC0660,10:58:27,+01:22:58.5
IC0661,10:58:52,+01:39:02.3
IC0662,10:59:21,+01:35:55.8
IC0663,11:00:37,+10:26:13.9
IC0664,11:00:45,+10:33:11.0
IC0665,11:00:30,-13:52:00.5
IC0666,11:01:15,+10:28:52.0
IC0667,11:06:37,+15:05:19.4
IC0668,11:06:40,+15:02:27.3
IC0669,11:07:17,+06:18:08.9
IC0670,11:07:29,+06:42:51.3
IC0671,11:07:32,+00:46:59.2
IC0672,11:08:03,-12:29:03.0
IC0673,11:09:25,-00:05:51.8
IC0674,11:11:06,+43:37:58.8
IC0675,11:10:57,+03:35:39.2
IC0676,11:12:40,+09:03:21.0
IC0677,11:13:56,+12:18:03.9
IC0678,11:14:06,+06:34:37.9
IC0679,11:16:37,-13:58:19.5
IC0680,11:17:55,-01:56:47.2
IC0681,11:18:32,-12:08:24.8
IC0682,11:22:15,+20:12:30.7
IC0683,11:21:32,+02:45:06.5
IC0684,11:21:33,+02:48:37.6
IC0685,11:22:07,+17:45:12.3
IC0686,11:23:05,+05:38:40.8
IC0687,11:24:17,+47:50:51.1
IC0688,11:23:40,-09:47:44.0
IC0689,11:23:38,-13:49:52.0
IC0690,11:24:21,-08:20:31.1
IC0691,11:26:44,+59:09:19.5
IC0692,11:25:53,+09:59:15.0
IC0693,11:26:49,-05:00:14.4
IC0694,11:28:27,+58:34:42.5
IC0695,11:27:58,-11:42:55.2
IC0696,11:28:40,+09:05:55.3
IC0697,11:28:34,-01:37:46.5
IC0698,11:29:04,+09:06:43.4
IC0699,11:29:06,+08:59:18.9
